user_id,hidden_time,time_to_completion,reach_end,raw_session_length,session_length,SP,MP,LP,VLP,NARRATIVE_ELEMENT_CHANGE,PLAY_PAUSE_BUTTON_CLICKED,LINK_CHOICE_CLICKED,SUBTITLES_BUTTON_CLICKED,BACK_BUTTON_CLICKED,SEEK_FORWARD_BUTTON_CLICKED,VIDEO_SCRUBBED,WINDOW_ORIENTATION_CHANGE,VOLUME_CHANGE,FULLSCREEN_BUTTON_CLICKED,SEEK_BACKWARD_BUTTON_CLICKED,NEXT_BUTTON_CLICKED,BROWSER_VISIBILITY_CHANGE,USER_SET_VARIABLE,total_events,FA-Score,AE-Score,PU-Score,RW-Score,UES-Score
c3389339-8208-4283-8b04-cc358ef8177a,55.546,2478.05,True,2981.168,2925.6220000000003,15,7,3,9,64,0,51,0,0,0,34,0,0,0,0,4,7,0,160,4.67,5.0,5.0,5.0,4.92
5e5bad74-7af7-49a5-8830-52e8d7d40aa6,1.536,3504.181,True,3943.439,3941.903,2,1,0,4,73,2,32,0,0,0,1,0,0,4,0,0,2,0,114,3.67,5.0,5.0,5.0,4.67
8470de08-1e3d-4801-82cc-9545bea38ccf,0.0,946.076,True,1439.794,1439.794,6,8,14,10,48,0,117,0,0,0,33,0,0,8,0,0,0,0,206,4.0,4.67,4.67,4.67,4.5
1b9b28db-841b-4e2b-aa03-14a5a02cd3b8,0.0,3442.21,True,4151.285,4151.285,0,0,0,2,66,0,35,0,0,0,0,0,0,2,0,0,0,0,103,3.67,5.0,5.0,5.0,4.67
ecfb3649-6305-49d0-b4c1-29a036e54000,0.0,1462.642,True,2138.104,2138.104,0,0,0,0,37,0,18,0,0,0,0,0,0,0,0,0,1,0,56,3.33,4.33,4.67,5.0,4.33
e8d1f3c7-24e7-4914-952b-62ece7a16b11,363.32,2188.0449999999996,True,3154.36,2791.04,1,1,0,2,68,0,30,0,0,1,0,5,0,3,0,0,3,0,110,3.0,4.33,3.33,4.33,3.75
1e3f3b00-2ae0-4fe4-a765-5df1e5572ab6,0.0,1211.764,True,1435.759,1435.759,0,0,0,2,32,0,15,0,0,0,0,0,0,2,0,0,0,0,49,4.0,4.33,5.0,5.0,4.58
124236a1-6919-4e0b-bc11-9e706059d196,0.0,2660.379,True,2896.27,2896.27,1,0,0,1,61,2,42,0,0,0,0,0,0,0,0,0,1,0,106,3.33,3.67,4.33,4.33,3.92
b1d5a313-d416-41bb-86ad-03c5ef753d56,0.0,5210.018,True,5670.234,5670.234,6,1,0,2,75,2,37,0,2,0,0,0,0,0,6,0,0,0,122,4.0,3.33,4.0,4.0,3.83
38d230ef-e50b-48fb-8737-81712fc7193d,517.612,4135.5599999999995,True,5489.17,4971.558,17,5,5,16,69,12,33,0,18,0,23,0,0,1,0,2,12,0,170,1.0,1.0,1.67,1.33,1.25
eb386f28-46b6-4ba6-9d3c-ccec40712466,0.0,1351.922,True,1991.398,1991.398,2,2,1,5,46,0,16,0,6,0,0,2,0,2,0,10,1,0,83,3.67,4.33,3.67,4.33,4.0
c48fdb3c-ec7a-41d8-9a20-56f97cb782e6,0.777,1697.863,True,103843.756,103842.97899999999,0,0,0,0,59,0,20,0,0,0,0,2,0,0,0,0,5,0,86,4.0,4.33,2.67,4.0,3.75
f81085af-7ea7-4a7f-bda3-fc14eeb59a99,0.0,1342.154,True,1597.409,1597.409,0,0,0,0,41,0,19,0,0,0,0,4,0,0,0,0,1,0,65,3.0,3.0,3.67,2.33,3.0
802f05c3-87b7-44e5-b334-2ad54f0cfd12,55.013000000000005,4032.495,True,5227.654,5172.6410000000005,0,0,0,6,75,2,33,0,0,0,1,0,0,3,0,0,10,0,124,4.33,5.0,5.0,5.0,4.83
f84589da-9df4-44ab-b6fe-cca108d90823,533.041,3970.898,True,4695.722,4162.681,0,1,1,1,72,0,40,0,0,0,2,0,0,1,0,0,2,0,117,4.0,3.67,3.33,4.0,3.75
